City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
62,kinshasa,-4.32,15.32,28.47,74,40,2.1,CD,1609519511
63,severo-kurilsk,50.68,156.12,-1.19,93,100,4.33,RU,1609519511
64,tasiilaq,65.61,-37.64,-1.0,86,100,6.2,GL,1609519511
65,maningrida,-12.07,134.27,27.07,80,100,3.67,AU,1609519511
66,arcachon,44.59,-1.05,4.53,93,78,3.1,FR,1609519511
67,nouakchott,18.09,-15.98,30.0,17,0,7.2,MR,1609519317
68,manbij,36.53,37.95,10.0,61,75,1.0,SY,1609519511
69,mana,5.66,-53.78,28.75,73,46,3.57,GF,1609519512
70,los llanos de aridane,28.66,-17.92,16.2,77,75,4.1,ES,1609519512
71,borisovka,50.62,35.99,0.0,98,90,5.0,RU,1609519512
72,mar del plata,-38.0,-57.56,25.0,41,0,9.3,AR,1609519512
73,sur,22.57,59.53,20.6,47,3,4.38,OM,1609519512
74,new norfolk,-42.78,147.06,10.9,71,90,3.1,AU,1609519512
75,filingue,14.35,3.32,30.25,12,0,2.32,NE,1609519512
76,fortuna,40.6,-124.16,6.48,100,1,4.1,US,1609519512
77,souillac,-20.52,57.52,25.0,78,40,5.7,MU,1609519511
78,gornopravdinsk,60.05,69.9,-32.83,85,69,1.03,RU,1609519513
79,north myrtle beach,33.82,-78.68,14.18,100,90,4.1,US,1609519513
80,lebu,-37.62,-73.65,16.82,69,0,8.05,CL,1609519513
81,flinders,-34.58,150.86,17.06,88,78,0.45,AU,1609519432
82,joensuu,62.6,29.76,0.29,95,90,2.1,FI,1609519514
83,dinguiraye,11.3,-10.72,36.32,12,0,2.0,GN,1609519515
84,dandong,40.13,124.39,-12.37,67,0,3.4,CN,1609519515
85,bethel,41.37,-73.41,1.06,59,1,2.1,US,1609519227
86,faanui,-16.48,-151.75,26.79,78,99,8.91,PF,1609519515
87,natal,-5.79,-35.21,31.0,55,20,7.2,BR,1609519515
88,kapaa,22.08,-159.32,23.3,73,40,9.8,US,1609519390
89,bambous virieux,-20.34,57.76,25.53,78,40,5.7,MU,1609519488
90,walvis bay,-22.96,14.51,18.44,72,55,4.6,NA,1609519515
91,te anau,-45.42,167.72,10.03,92,99,2.04,NZ,1609519394
92,shetpe,44.17,52.12,-0.65,80,83,8.95,KZ,1609519516
93,buala,-8.14,159.59,27.09,75,46,2.17,SB,1609519516
94,avera,33.19,-82.53,19.3,90,90,4.1,US,1609519516
95,safaga,26.73,33.94,22.0,56,0,3.6,EG,1609519516
96,le tampon,-21.27,55.52,23.84,78,0,3.1,RE,1609519516
97,saskylakh,71.92,114.08,-26.04,86,100,8.08,RU,1609519516
98,oranjemund,-28.55,16.43,19.09,67,4,11.76,NA,1609519516
99,sydney,-33.87,151.21,17.38,77,75,3.1,AU,1609519316
100,adrar,20.5,-10.07,22.69,23,0,5.16,MR,1609519516
101,sao felix do xingu,-6.64,-51.99,34.65,44,5,1.19,BR,1609519517
102,santiago del estero,-27.8,-64.26,33.89,33,3,2.24,AR,1609519362
103,sibolga,1.74,98.78,25.52,82,100,1.16,ID,1609519517
104,tessalit,20.2,1.01,27.39,19,8,5.82,ML,1609519517
105,thompson,55.74,-97.86,-15.0,92,90,1.0,CA,1609519490
106,georgetown,5.41,100.34,26.25,78,20,2.6,MY,1609519411
107,riihimaki,60.74,24.78,1.68,93,100,0.84,FI,1609519517
108,plattsburgh,44.7,-73.45,0.29,89,90,3.6,US,1609519517
109,fukue,32.69,128.84,8.95,71,94,7.25,JP,1609519517
110,okhotsk,59.38,143.3,-21.12,79,90,6.77,RU,1609519422
111,arlit,18.74,7.39,26.32,17,0,2.06,NE,1609519414
112,ambilobe,-13.2,49.05,24.78,86,52,0.51,MG,1609519518
113,kharan,28.58,65.42,6.87,46,4,1.83,PK,1609519518
114,vardo,70.37,31.11,-2.0,92,75,9.3,NO,1609519518
115,hamilton,39.18,-84.53,2.44,93,90,3.39,US,1609519507
116,camapua,-19.53,-54.04,33.18,41,69,2.61,BR,1609519518
117,qaanaaq,77.48,-69.36,-11.62,88,100,2.42,GL,1609519394
118,ruteng,-8.61,120.47,17.27,99,89,0.54,ID,1609519518
119,conceicao do araguaia,-8.26,-49.26,34.28,47,0,1.8,BR,1609519518
120,jampur,29.64,70.6,12.18,33,0,3.1,PK,1609519518
121,bambanglipuro,-7.95,110.28,24.19,91,100,4.24,ID,1609519409
122,sovetskiy,61.36,63.58,-33.0,85,0,0.68,RU,1609519519
123,cidreira,-30.18,-50.21,23.63,49,0,4.39,BR,1609519519
124,taicheng,38.73,113.23,-8.89,77,0,1.47,CN,1609519519
125,albany,42.6,-73.97,0.46,58,70,1.17,US,1609519313
126,ancud,-41.87,-73.82,17.57,59,0,3.1,CL,1609519395
127,atar,20.52,-13.05,24.55,21,0,6.43,MR,1609519519
128,luwuk,-0.95,122.79,25.57,75,100,1.72,ID,1609519519
129,guerrero negro,27.98,-114.06,16.82,37,0,5.65,MX,1609519519
