,Continent,Country Code,Country,Alcohol Consumption Per Capita (Liters),Climate,Main Industry,Region,Happiness Score,Life Expectancy,GDP per capita,Mental Health Disorders (%),Wine Consumption per capita (Liters)
0,Asia,AFG,Afghanistan,0.2,arid to semiarid; cold winters and hot summers,small-scale production of bricks,South Asia,2.566900015,52.59000015,7.462860583999999,17.55346296,0.0
1,Europe,ALB,Albania,7.5,"mild temperate; cool, cloudy, wet winters; hot, clear, dry summers; interior is cooler and wetter",perfumes and cosmetic products,Central and Eastern Europe,4.882699966000001,68.70813751,9.417930603,10.98761042,1.14
2,Africa,DZA,Algeria,0.9,"arid to semiarid; mild, wet winters with hot, dry summers along coast; drier with cold winters and hot summers on high plateau; sirocco is a hot, dust/sand-laden wind especially common in summer",petroleum,Middle East and North Africa,5.005099773,65.90517426,9.537964821000001,14.70038757,0.22
3,Europe,AZE,Azerbaijan,0.8,"dry, semiarid steppe",petroleum and natural gas,Commonwealth of Independent States,5.164800167,65.50839996,9.687726974,10.49581501,0.23
4,South America,ARG,Argentina,9.8,mostly temperate; arid in southeast; subantarctic in southwest,food processing,Latin America and Caribbean,5.974699974,68.80380249,9.810955048,15.49123492,3.22
5,Oceania,AUS,Australia,10.6,generally arid to semiarid; temperate in south and east; tropical in north,mining,North America and ANZ,7.222799778,73.60453796,10.72059631,18.077892,3.64
6,Europe,AUT,Austria,11.6,"temperate; continental, cloudy; cold winters with frequent rain and some snow in lowlands and snow in mountains; moderate summers with occasional showers",construction,Western Europe,7.294199944,73.00250244,10.7428236,14.64811057,4.37
7,Asia,BHR,Bahrain,1.9,"arid; mild, pleasant winters; very hot, humid summers",petroleum processing and refining,Middle East and North Africa,6.227300167,68.5,10.67638016,14.57364164,0.13
8,Asia,BGD,Bangladesh,0.0,"tropical; mild winter (October to March); hot, humid summer (March to June); humid, warm rainy monsoon (June to October)",jute,South Asia,4.832799911,64.50306702,8.287063599,13.52747593,0.0
9,Europe,ARM,Armenia,5.5,"highland continental, hot summers, cold winters",diamond-processing,Commonwealth of Independent States,4.676799774,66.75065613,9.100476265,10.64428436,0.13
10,Europe,BEL,Belgium,12.1,"temperate; mild winters, cool summers; rainy, humid, cloudy",engineering and metal products,Western Europe,6.863500117999999,72.00164795,10.6736393,14.65897462,4.53
11,South America,BOL,Bolivia,4.8,varies with altitude; humid and tropical to cold and semiarid,mining,Latin America and Caribbean,5.747499942999999,63.6004715,8.851115227000001,12.85289814,0.03
12,Europe,BIH,Bosnia and Herzegovina,6.4,"hot summers and cold winters; areas of high elevation have short, cool summers and long, severe winters; mild, rainy winters along coast",steel,Central and Eastern Europe,5.674099922000001,67.80813599,9.455817223,11.69452752,0.15
13,Africa,BWA,Botswana,8.4,semiarid; warm winters and hot summers,diamonds,Sub-Saharan Africa,3.478899956,58.92445374,9.711203575,12.32002157,0.59
14,South America,BRA,Brazil,7.8,"mostly tropical, but temperate in south",textiles,Latin America and Caribbean,6.375599861,66.48016357,9.56643486,14.2402715,0.27
15,Europe,BGR,Bulgaria,12.7,"temperate; cold, damp winters; hot, dry summers",electricity,Central and Eastern Europe,5.101500034,66.80397797,9.869318962000001,11.4517152,2.87
16,Asia,MMR,Myanmar,4.8,,,Southeast Asia,4.308000088,58.96171188,8.680481911000001,12.27146556,0.0
17,Africa,BDI,Burundi,7.5,"equatorial; high plateau with considerable altitude variation (772 m to 2,670 m above sea level); average annual temperature varies with altitude from 23 to 17 degrees Celsius but is generally moderate as the average altitude is about 1,700 m; average annual rainfall is about 150 cm; two wet seasons (February to May and September to November), and two dry seasons (June to August and December to January)",light consumer goods such as blankets,Sub-Saharan Africa,3.775300026,53.40000153,6.492642403,13.28411749,0.0
18,Europe,BLR,Belarus,11.2,"cold winters, cool and moist summers; transitional between continental and maritime",metal-cutting machine tools,Commonwealth of Independent States,5.539899826,66.10433197,9.779945374,12.06693399,0.37
19,Asia,KHM,Cambodia,6.7,"tropical; rainy, monsoon season (May to November); dry season (December to April); little seasonal temperature variation",tourism,Southeast Asia,4.8484001160000005,61.52996826,8.249890327000001,13.50304493,0.02
20,Africa,CMR,Cameroon,8.9,"varies with terrain, from tropical along coast to semiarid and hot in north",petroleum production and refining,Sub-Saharan Africa,5.084899902,52.7049408,8.118647575,11.61166356,0.11
21,North America,CAN,Canada,8.9,varies from temperate in south to subarctic and arctic in north,transportation equipment,North America and ANZ,7.23210001,73.60160065,10.69236851,15.55324495,2.0
22,Africa,CAF,Central African Republic,3.3,"tropical; hot, dry winters; mild to hot, wet summers",gold and diamond mining,Sub-Saharan Africa,3.475899935,45.20000076,6.625160217,12.63780875,0.02
23,Asia,LKA,Sri Lanka,4.3,tropical monsoon; northeast monsoon (December to March); southwest monsoon (June to October),processing of rubber,South Asia,4.327000141,67.20006561,9.389969826,12.66467191,0.01
