country,code,year,mental_health_&_addiction (%)
North Korea,PRK,1990,11.731706290000004
North Macedonia,MKD,1990,11.046951984999998
Northern Mariana Islands,MNP,1990,10.982031068928569
Norway,NOR,1990,16.17443636678571
Oman,OMN,1990,13.77446185821428
Pakistan,PAK,1990,12.270748374642858
Palestine,PSE,1990,16.1542103675
Panama,PAN,1990,10.706119403571426
Papua New Guinea,PNG,1990,11.480347636071428
Paraguay,PRY,1990,14.083716023571428
Peru,PER,1990,12.109656443214286
Philippines,PHL,1990,11.180460679285716
Poland,POL,1990,11.000936871785713
Portugal,PRT,1990,15.533100515357145
Puerto Rico,PRI,1990,13.555199755714286
Qatar,QAT,1990,13.766988765714286
Romania,ROU,1990,10.827414504642856
Russia,RUS,1990,11.79810286857143
Rwanda,RWA,1990,12.997673176785714
Saint Lucia,LCA,1990,13.451642707142856
Saint Vincent and the Grenadines,VCT,1990,13.339094134642858
Samoa,WSM,1990,11.095751992857142
Sao Tome and Principe,STP,1990,11.298983190714285
Saudi Arabia,SAU,1990,13.543305131428573
Senegal,SEN,1990,11.396122817142855
Serbia,SRB,1990,11.275697
Seychelles,SYC,1990,10.933534241071426
Sierra Leone,SLE,1990,11.767587609285712
Singapore,SGP,1990,12.644361069285717
Slovakia,SVK,1990,11.143552687857147
Slovenia,SVN,1990,11.834087817142857
Solomon Islands,SLB,1990,11.463713908928572
Somalia,SOM,1990,13.148732715714287
South Africa,ZAF,1990,12.723336737499997
South Korea,KOR,1990,11.552883832857137
South Sudan,SSD,1990,12.287336750357143
Spain,ESP,1990,16.10433602857143
Sri Lanka,LKA,1990,12.047780527857142
Sudan,SDN,1990,16.550226935714285
Suriname,SUR,1990,14.276340013571428
Sweden,SWE,1990,15.687303161428572
Switzerland,CHE,1990,15.032148454285714
Syria,SYR,1990,14.996261025714286
Taiwan,TWN,1990,11.455134469642857
Tajikistan,TJK,1990,10.784116623928572
Tanzania,TZA,1990,12.495358716071427
Thailand,THA,1990,12.252132362499996
Timor,TLS,1990,12.463788101785713
Togo,TGO,1990,11.787672773928573
Tonga,TON,1990,10.988826263928571
Trinidad and Tobago,TTO,1990,14.010310415000003
Tunisia,TUN,1990,15.438182267142858
Turkey,TUR,1990,14.461623708928572
Turkmenistan,TKM,1990,10.777363855357143
Uganda,UGA,1990,13.780976540714283
Ukraine,UKR,1990,12.344310120000001
United Arab Emirates,ARE,1990,12.345337531071428
United Kingdom,GBR,1990,14.631859672857145
United States,USA,1990,17.360217126428566
United States Virgin Islands,VIR,1990,13.73378880964286
Uruguay,URY,1990,15.53726107607143
Uzbekistan,UZB,1990,10.873312331785716
Vanuatu,VUT,1990,11.261272382142858
Venezuela,VEN,1990,11.069405964285716
Vietnam,VNM,1990,10.1623928395
Yemen,YEM,1990,15.99115140535714
Zambia,ZMB,1990,12.219931389642856
Zimbabwe,ZWE,1990,11.48140149
